t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
0.01,845.8432719815436,-155.97171046687862,0.018792191649578228,-20.531300905048695,517.2688511619278,-17.70564789476628,-0.014657123509020186,-16.7275355865883
0.02,848.4945193663812,-119.67605047090503,-0.018622398880481214,-12.954448622576022,581.6769893295307,-29.78428357716086,0.018657215471268883,-12.22685659470489
0.03,850.0353086267744,-99.9208266548535,-0.018775557922468437,-10.942059890722778,622.810769813137,-39.61354341358825,-0.020551575212255396,-10.271180333872824
0.04,849.127598920114,-86.88809865840153,0.01902678164907537,-10.398517150016886,649.9824488002195,-46.25411668905043,-0.021281169737522185,-9.255714179420943
0.05,846.9146379275838,-77.61193309592187,-0.019352708913941148,-10.5605475582686,668.6745498059888,-50.44044868575394,-0.021623149904885088,-8.682960658761326
0.06,844.083290474761,-70.67796307634318,0.019749598632867734,-11.14066589281717,681.9943429685003,-52.96656451251644,-0.021844167158206848,-8.467085799753114
0.07,841.0146626048339,-65.30975241258238,0.02023292940140794,-12.103020293463697,691.7405388507476,-54.39232815890224,-0.022033450396021417,-8.556041968901798
0.08,837.8875149229415,-61.031618427837415,0.020807902640318458,-13.349350052800098,699.0457662210556,-55.11089528727571,-0.022244928938394665,-8.995231736188657
0.09,834.8002714376391,-57.546064877174594,-0.021482756673188004,-14.828189055756727,704.5930850780738,-55.35679202527393,-0.02248097097900102,-9.647577191564642
0.1,831.7685805354354,-54.64192768689921,-0.0222400860881729,-16.364876983571328,708.8384709393202,-55.287382979514376,0.02273961365873174,-10.419206577968973
0.11,828.8403827437827,-52.193008046730135,0.023096930588206884,-18.000995831675105,712.1119725139101,-55.01793898831388,0.023026784898434693,-11.29442044526216
0.12,1143114.2749939167,-1142305.5304938396,1.5760946834748273,-14837.918402551306,714.6574928986809,-54.6318247770009,0.023352240142971447,-12.297099653004091
0.13,1216611.5922742437,-1215806.3662181695,1.5774452826068392,-15766.729397110179,716.6425205836651,-54.179624952692144,0.023717767847554794,-13.407164228763657
0.14,2031118.2222071728,-2030316.4557459212,1.7676307642526983,-20991.520924004948,718.1634103401506,-53.68224275029169,0.02410542601901757,-14.512036082073866
0.15,818.6727249646913,-45.299309737070786,0.02812236843974071,-25.970978885848336,719.3343594865586,-53.17461384646967,0.024529019738119346,-15.674769252654968
0.16,816.7213263574596,-43.938881069735146,0.030258405640317905,-28.60911312980229,720.2424216431873,-52.67721222720757,-0.025001589272981847,-16.943154560900552
0.17,815.3987672009778,-42.37746262774947,0.033810293108545546,-32.086345266255506,720.9264712678323,-52.19295534331624,0.025512439886844724,-18.24814405924142
0.18,3408573.695875101,-3407785.0531605324,1.9094344472136093,-30215.5685111908,721.4533182531273,-51.736077472299435,0.02608157061332436,-19.66225277345971
0.19,3777168.2380124754,-3776382.686631041,-1.9367323209351948,-32550.339818883167,721.8481468593276,-51.300946761246216,0.0267078344652553,-21.14069897941404
0.2,4298606.7401849395,-4297824.207521786,1.9786190334021676,-35498.56305005931,722.1409583842852,-50.88837030599133,0.0273968937014497,-22.682369182425298
0.21,4266236.3552528,-4265456.768976571,1.9543321939300478,-36110.177191936265,1684049.7205631335,-1683348.6782635464,1.6610505702223686,-19696.277231727785
0.22,4232399.132301049,-4231622.424299479,-1.9310715145843262,-36689.7997153649,2112252.4327763203,-2111552.082835991,1.740270288400726,-22518.603534633192
0.23,4259220.898966592,-4258447.002753691,-1.915820325353887,-37511.24978648245,722.6897427457977,-49.745161889898455,0.030004020585872638,-27.78601028062816
